0x2EAEAC1C, predecessor
0xC20A940D, zombie_tactical_grenade_list
0xB8A74746, zombie_lethal_grenade_list
0x634D0F82, getweaponclasszm
0x5B62FB69, isgrenadeweapon
0xDA205B72, customboxweapons
0x499916AC, customrandomweaponweights
0x48D1BA09, ammomod
0xADA4725B, is_weapon_upgraded
0xE57EC1D3, can_upgrade_weapon
0x7AC738AD, get_upgrade_weapon
0xEB2F655C, get_base_weapon
0x16A63CBF, getweaponoptions
0x33277744, getbuildkitattachmentcosmeticvariantindexes
0x8C02D299, rootweapon
0x9785D11, switchtoweaponimmediate
0x9FD5BDE7, switch_from_alt_weapon
0x2AC07CF3, acquire
0xE86E0A9B, getammomod
0x4DB6BF4D, aat
0x4874CCDF, acquireaat
0x909969C0, toggleunlimitedclip
0xB90E0D17, toggleinfiniteammo
0x67795B5F, setweaponammoclip
0xC0B2188, clipsize
0x704B802A, givemaxammo
0x4079F435, setweaponammofuel
0x32A0E46A, toggleunlimitedequipment
0x995270AE, current_hero_weapon
0xA0BD515A, current_sword
0xC9265B2E, sword_power
0xA0B29C50, gadgetpowerset
0x5E6740A8, setlowready
0x9FCF3CD8, waittill_any_timeout
0xCC4D5165, set_player_uimodel
0x4CF50A34, increment_uimodel
0xB4EEFCCE, togglemagicbullet
0x79C6B1B, toggleassaultrifles
0x8C42C515, togglesubmachineguns
0x9210787F, togglelightmachineguns
0xC17FD905, togglesniperrifles
0x59E72C3C, toggleshotguns
0xC7501B67, togglepistols
0x25FCF408, togglelaunchers
0x55018511, togglespecials
0xA6B62277, toggleequipment
0x62B67111, checkgunout
0x653BA713, getstance
0x9A3309D4, togglegadgetpower
0x7620E707, gadgetisactive
0x5C93D934, gadgetpowerget
0xCBA5B7BA, setspreadoverride
0x3C316267, resetspreadoverride
0x17AAEF5, percentage
0xFB1B3014, cooldown_time_entity
0xCB33FAE8, cooldown_time_attacker
0x9833188, cooldown_time_global
0xDD3ABBB7, toggleshowammomodvalue
0x2A97D9FD, dist
0xC22498BE, 0bogsarraykeys47b5c3db-4f66-45b2-9e30-95e7d93d39af
0xB6AC269E, keep_perks_after_down
0x7FCEABE1, _retain_perks
0x2E64A28C, af
0xD1BC5E07, huds
0x94D50501, sections
0x7DC0F143, 0bogsarraykeys8326c550-c7c4-42bd-8061-af6af57a2cd8
0xC4E54C5C, 0bogsindex6d114ca1-6dd6-4f3a-a2eb-072c9b79ecd8
0xF996A5BC, weapons
0xFA27B120, client
0x6A9CC34, 0bogsarraykeyse93d5902-540c-47ac-8f32-80b8f9fc753a
0x943D25E2, gobblegums
0x11EC506C, 0bogsarraykeys8158c118-b4d7-4093-ac8c-de4c7d6945c8
0x9F0A7A30, 0bogsindexf4df1334-9331-4c0c-8166-a626d8eda61f
0x28ED7C35, 0bogsarraykeysc5c265a9-0186-4217-9e2e-985a6df1a564
0x9FD2737, 0bogsindex40e200fd-b455-40c0-a595-ced6d03414c8
0x5E76F0AF, index
0x46CC8DD2, textlabel
0xB0745645, bullet
0xEC62C358, 0bogsarraykeys93a93dea-c75f-43f1-8dc7-f5b73a72496c
0xE534D9DD, 0bogsindex5f828228-d9b0-4fdf-b581-ed0d942e51e7
0x11DCBF6C, loadarray
0x75044110, 0bogsarraykeys34310104-39b4-400a-9185-11cf3676cca5
0xA1EE0F98, 0bogsindexf51d7c71-ef22-4315-abe2-43af2fd90560
0xBB7883B3, player_names
0x31DACCDC, perk_keys
0x410D46A7, access
0xF7AA0783, getcamosname
0x61853DAA, get_nonalternate_weapon
0xA5D2414, weapon_categories
0x868D9BD1, getnormalbullets
0x64EFDF13, weaponskits
0x5C8C8601, makelocalizedstring
0xB82BBE1C, displayname
0x86A695A9, getequipment
0xAE76AA64, getequipment_list
0x15481DEA, getupgradedbullets
0xD4465273, getequipmentinclude
0x75CCFFB9, geteffectname
0x6B428F67, getmodelname
0x8E7B5E31, getgobblegumsname
0x7922262B, get
0x7C7CF150, bonetags
0x3FC195CB, aimbottype_name
0xBD457B3A, aimbottype_list
0x1A147AD6, requiredvisible_name
0x9BF48F9F, requiredvisible_list
0xEDA7D268, damagetype_name
0x1A560AE1, damagetype_list
0x8BDEA42, zombiecolor_name
0xF522ED03, zombiecolor_list
0xE80B4268, color_name
0x14B97AE1, color_list
0xB751FEE4, leaderboard_name
0x91326FF5, leaderboard_list
0x734B7379, weaponcategories
0x3D29746, id
0x6B60E118, luimaterial_name
0x22427411, luimaterial_list
0x47879E0, animationtop_name
0xC5A83BB9, animationtop_list
0xF076E3D2, animationbottom_name
0xABB7AED3, animationbottom_list
0x2CD1B99C, toggletypewriter
0x4C0799F, toggledecoder
0xF225AE1F, togglerandomicon
0x78B5761C, togglemodifystring
0x6CF7DEAE, 0bogsarraykeys7155e449-ed4f-4921-99cd-027b91c213af
0x48D2BFDB, 0bogsindex0615aba9-a940-4e4e-8e85-b0383d62f846
0x5FCF0322, 0bogsarraykeys165b7c5a-28f5-4094-aff3-093b50a8b9a3
0xD2E7A8AB, 0bogsindex4cecf495-96a5-4712-8e2f-c0deb34c4486
0x9A53C478, 0bogsarraykeys63a6d044-ce6d-449a-a70b-58f511259c8d
0x558E450A, 0bogsindexf3a06885-189a-4e88-b30a-314c12cbaea5
0xC7F3CE11, getentitynumber
0xC81C68F5, stance_name
0x88A06BA3, hudsetting_list
0x87995325, shellshock_name
0x34A778FC, shellshock_list
0x91053FAD, music_list
0x7251DF2, slider
0xE79EF2E, savedweapon
0xE57835F5, actionslotthreebuttonpressed
0x7DB80007, actionslotfourbuttonpressed
0x66355343, emenu
0x35C84E32, val
0xEB1D769D, id_list
0x40657223, actionslottwobuttonpressed
0x86365A77, func
0xD5EF124, usebuttonpressed
0x6E623288, was_edited
0xAC81377D, sliders
0x326B7278, p5
0x586DECE1, p4
0x167A50EE, p3
0x3C7CCB57, p2
0xCA755C1C, p1
0x1AD5C13D, font_pulse_init
0x724A4794, hud
0x5E2578BC, font_pulse
0xF61B64, settypewriterfx
0xB22032D, setrandomicon
0x6151F93, checkluicall
0x3A9588EA, setluimenudata
0x7FFA5581, space
0xFB268D50, position_y
0xE363B850, height
0x982BFCF2, size
0xADD0A810, curs
0x297F9D46, y
0x4F2142B1, menu_currentsize
0xAC29B540, menu_currentcursor
0x9DA1E4B9, ary
0xEE69B16E, setvalue
0x4F8217AF, x
0x1B6E6804, opt
0x9BEFB288, setshader
0x95D0212B, min
0xAAEEC8C5, max
0xD6361123, mult
0x49DAE770, progress
0xA1DD662E, xposition
0x348E15D0, widthsize
0x718DC76F, cap_curs
0x30615D79, yousure
0x9DFD7B1B, xpos
0xD900369A, color
0xA9F4C2C5, title
0x6130AD99, stringsize
0x3947A807, row
0xC0A2ADF6, capitals
0x3C61BFC2, result
0xF8F608DB, temp
0xEFA406E4, curs_y
0x15A6814D, curs_x
0x4BBD569F, ui
0x8BA29281, actionslotonebuttonpressed
0xECD44E51, jumpbuttonpressed
0xC11AE181, fragbuttonpressed
0xDE878E17, ents
0xC86C610F, is_struct
0x71D5EBA5, 0bogsarraykeysa9f881c8-2cb8-492c-8fe7-2940d6b0c793
0x2739B82D, 0bogsindex6f5376aa-be68-43af-b605-dd67eb4a75a8
0xB684A6D1, __vtable
0x77402787, array_exclude
0xB1FD4BDC, 0bogsarraykeys44b59d0c-b207-4103-ab66-7af89ad8397a
0x5ECB5FE9, 0bogsindex308406d0-64ad-46ff-8729-355718901fe1
0x84270C91, exclude_item
0x14B5ADC4, newarray
0x6E2770D8, isarray
0x81403B2F, arrayremovevalue
0xC5B0E858, item
0xC1283B2A, allow_dupes
0x1C2BEB2B, arrayinsert
0x1417C7AF, hud_amount
0x38F9442B, 0bogsarraykeysaf464231-b7d4-4a27-9eb6-c24fc1d26139
0xBA0CFEDF, 0bogsindexa0441aa8-dfa0-4790-bc02-8f83442e42f1
0x9C3ABBF4, destroyelem
0x314E0D12, m
0x8CAA0808, text
0x9C89EB61, nameobject
0x9E455A4, object
0x988FFB13, table
0x732FDB2, getcamoslist
0x2F6AABEF, 0bogsarraykeys1d50a915-c4b0-41e1-b24b-30d9d9b063c7
0x944E8C1E, 0bogsindex4f5fda9f-16fa-453f-8a6e-9b4fb1e78784
0xE8F47F5A, extraid
0x6483D85A, extraslabel
0x11D77131, extrasguns
0xD3EAA5E9, 0bogsarraykeyse404f444-1894-4733-88d0-30602577b055
0xED256CA3, 0bogsindexd258354f-5e6c-48de-abbc-48eeb0876e0d
0x39F5B5E4, getweaponkits
0x52519A77, weapon_id
0xE0DA7A29, weapon_name
0x11C7BF14, weapon_categ
0x12CB686B, 0bogsarraykeysc63b7859-14c4-411b-a37a-03986b072075
0xE7964B64, 0bogsindexa3e44b8b-8897-4596-854c-26353e673548
0x7DC5AB16, weaponslabel
0xE2E6FDED, ammomod_name
0x49F81084, ammomod_list
0xA4B7DA48, getzombies
0x24E95264, getaispeciesarray
0x27741DC8, getallenemies
0xDAAC9280, geteffect
0x7D108000, zombie_weapons_upgraded
0x20B5FDE7, zombie_include_equipment
0x5E4FE4F9, tablelookupistring
0xD1439E4F, tablelookuprow
0xF45850EC, getsubstr
0xCCF4777F, namemodellist
0x809A051, excludelist
0xFE3070C8, preset
0x3760F745, checkcalltextbar
0x98E535AF, previousmenu
0x40A873FD, storemenu
0x2E9393AE, option
0x2E076071, bool
0xEBC11D32, rl_list
0x42ECAB65, pressed
0xCF6622D8, rcurs
0x212907B9, position_x
0x69C2F683, abs
0x2DF9DA95, isfloat
0xD3ECF79A, selected
0x83253AC2, font
0x2363DA9C, fontscale
0xEA2F4EFC, align
0x2282BC4D, relative
0x4D19365, sort
0x8B804BD9, islevel
0x31704579, textelem
0x6AADF29C, createserverfontstring
0x1FA18F5D, createfontstring
0x1E912B73, setpoint
0x8E7EDB95, label
0x5773C805, hidewheninmenu
0x740F6833, archived
0x3B18DB39, rainbowcolour
0x520A934, isint
0xD0BAE973, width
0xB861723E, shader
0x92B9DDEC, server
0xE89651E1, boxelem
0xC49DDE5, newhudelem
0xAD13099A, newclienthudelem
0xF83454EC, elemtype
0x2016892B, splitscreen
0xB0CBC08E, xoffset
0x15DDE6FF, yoffset
0xFC6BD138, children
0x89140677, setparent
0xF9A26FC7, uiparent
0xBFF506D, hidden
0x705C9C08, alignment
0x9D13DF39, description
0x71B8DBA1, dialog
0xFF37F080, textelement
0xA72F1F02, loadtime
0x2958936F, hudluiprint
0x46534793, set_color
0xC9AA1FF, waittill_notify_or_timeout
0x4CB85FDD, 0bogsarraykeys59c43b40-42ff-4803-a309-858034dd515e
0x6AB22CF3, 0bogsarraykeys3b7e1d9d-a94e-47e7-98d4-e22ace461410
0x738FEF4C, 0bogsarraykeys338dce3d-b1ef-40a7-8cbf-5925ccf7a886
0x26299103, randomint
0xD0ABE4F2, substring
0x7E2400EB, replace
0x7671B2AF, final
0x5C21AD3D, scale
0x56FD354C, obj
0x7D0838B3, setscale
0x2B5CF7AF, arry
0xA3557C4D, j
0x5FB1A0F9, 0bogsarraykeysac7648b7-1bba-4735-8898-56091a5df0a8
0x9284A742, 0bogsindexee533d0a-6ba5-45c8-9990-b3bfe37eb3de
0xD4305EFD, new
0xE92868F3, a1
0x7720F9B8, a2
0x9D237421, a3
0x5B2FD82E, a4
0x81325297, a5
0xF2AE35C, a6
0x352D5DC5, a7
0xB85099E, 0bogsarraykeysc7431f3e-96b8-46f4-ba63-afefcc266745
0xF46E61F0, 0bogsindexad4c7bc1-b92f-4437-bf81-bf75ec9b3e51
0x822F0CC5, physicslaunch
0xBA7F003E, fadeovertime
0x9B81E487, moveovertime
0xC355CE93, texthud
0xE92A9E00, 0bogsarraykeys5686708e-17e0-477d-8ca0-77b285b0aefb
0xB4BA1E37, 0bogsarraykeyse341c836-9a0b-4af6-b258-34d8fccf9ffc
0x3390F625, r
0x155CEB88, g
0xD3694F95, b
0x14F658AE, dvar
0x9B870C81, v
0x4BD0142F, getdvarint
0x19FA9E01, getdvarvector
0xFF458B02, savedalias
0x90C70533, dvarname
0x6B1F7819, dvarvalue
0x6AE06304, getdvar
0xCB15C0C8, vec3
0x55653B22, 0bogsarraykeys7e1ddd08-e3a1-4afd-ae29-565c70a1ec37
0xCC000A99, 0bogsindexe6a2cc7f-61e6-4223-95c5-fda207abfcad
0x59315C, skip
0xE3D28693, 0bogsarraykeys4afc17b9-0a57-4cb7-a32b-2a19f7c00a1a
0x632649A6, 0bogsindex8a026093-e830-4651-8279-9c00b15e6f6d
0x4CEAC8F6, previous
0x40B5AF80, current
0xE81B1E70, which
0xA472E1B3, p6
0x3E7EFB2B, sponge
0xAC99A070, alphabet
0xFA42A0E2, str
0xEB6B5D23, replacement
0x4EF8B8D, colour
0x40983008, 0bogsarraykeys21fad4d4-e64f-4974-879e-bbea2ad5f407
0x6B15F227, 0bogsarraykeysa1e2221e-bdac-49e5-9b65-85a0fd2e5a65
0xBD00FF2A, dir
0x9051881F, blacktext
0xCD6F702F, redtext
0x5DE0C0CF, greentext
0x2C86A894, yellowtext
0x390E533C, darkbluetext
0x84D18E3E, lightbluetext
0x15CEB0DA, purpletext
0x95CF2F0D, whitetext
